"","topic_short","year"
"1","2D",2011
"2","2D",2010
"3","2D",2011
"4","2D",2012
"6","3D",2013
"7","3D",2016
"8","3D",2009
"9","3D",2011
"10","3D",2012
"11","ABRS",2009
"12","ACE",2011
"13","ACE",2011
"14","ACE",2011
"15","ACE",2012
"16","ACE",2011
"17","ACES",2016
"18","ACES",2013
"19","ACES",2015
"20","Actin",2007
"21","Actin",2010
"22","Adams",2014
"23","ADF",2001
"24","ADUM",2005
"25","ADUM",2005
"26","ADUM",2005
"27","ADUM",2011
"28","ADUM",2006
"29","ADUM",2016
"30","ADUM",2004
"31","ADUM",2009
"32","ADVASC",2003
"33","ADVASC",2014
"34","ADVASC",2001
"35","ADVASC",2002
"36","ADVASC",2005
"37","AEM",2013
"38","AEM",2016
"39","Ageing",2008
"40","Ageing",2010
"41","Ageing",2013
"42","Ageing",2012
"43","Ageing",2007
"44","Ageing",2007
"45","Ageing",2012
"46","Ageing",2010
"47","Ageing",2007
"48","Akvarium",2007
"49","Akvarium",2007
"50","Alloy",2015
"51","Alloy",2016
"52","ALTCRISS",2007
"53","ALTEA",2006
"54","ALTEA",2011
"55","ALTEA",2012
"56","ALTEA",2006
"57","ALTEA",2011
"58","ALTEA",2009
"59","ALTEA",2009
"60","ALTEA",2001
"61","ALTEA",2003
"62","ALTEA",2004
"63","ALTEA",2008
"64","ALTEA",2009
"65","ALTEA",2006
"66","ALTEA",2006
"67","ALTEA",2008
"68","ALTEA",2010
"69","ALTEA",2010
"70","ALTEA",2011
"71","ALTEA",2012
"72","ALTEA",2004
"73","Alteino",2002
"74","Alteino",2005
"75","Alteino",2006
"76","Alteino",2007
"77","Alteino",2006
"78","Alteino",2006
"79","Alteino",2006
"80","Amphibody",2013
"81","Amphibody",2012
"82","Amphibody",2013
"83","AMS",2014
"84","AMS",2013
"85","AMS",2014
"86","AMS",2015
"87","AMS",2016
"88","AMS",2014
"89","AMS",2003
"90","AMS",2002
"91","AMS",2013
"92","AMS",2013
"93","AMS",2005
"94","AMS",2004
"95","AMS",2011
"96","AMS",2009
"97","ANDE",2008
"98","ANITA",2008
"99","ANITA",2009
"100","ANITA",2011
"101","ANITA",2004
"102","ANITA",2003
"103","ANITA",2004
"104","ANITA",2008
"105","ANITA",2009
"106","Aorta",2005
"107","Aorta",2009
"108","APCF",2002
"109","APCF",2003
"110","APCF",2005
"111","APCF",2002
"112","APCF",2002
"113","APCF",2001
"114","APCF",2002
"115","APCF",2001
"116","APCF",2002
"117","APCF",2002
"118","APCF",2003
"119","APCF",2002
"120","APEX",2002
"121","APEX",2013
"122","APEX",2014
"123","APEX",2015
"124","APIS",2007
"125","AQM",2013
"126","Aquarius",2008
"127","AQUARIUS",2003
